s1	R01L-10-T	R01L-12	R02H-7	R02H-8	R02H-9	R07B-1	R07B-2	R07B-3	R08H-1	R08H-2	R08H-3	R09L-2	R09L-3	R09L-4	R13L-3	R13L-4	R13L-5	R14B-2	R14B-4	R15H-1	R15H-2	R15H-3	R15H-6	R15H-7	R16L-1	R16L-2	R16L-3	R16L-4	R16L-5
R14B-2	-0.06985952282796648	0.5425499858068754	0.12382702189769046	0.41917098452212076	0.4820428019318097	0.025250442325648326	-0.5073478093701987	0.43039568548267537	0.15630434684120242	0.013623535133026277	-0.13196280499832846	0.024111554689604242	0.14089219638361983	0.3908860969387249	-0.28673901232494536	-0.012458294173992246	0.3236891242221429		0.058295293438418216	0.7198529929075723	0.5768767220412989	0.5773214284179768	0.16322646558261944	0.23468114055810618	0.3172219478762983	0.7851327948754661	0.6220258495127833	0.531106677459489	0.7824844454028674
R14B-4	-0.01161151707666841	0.5824242990817221	0.1808170813439256	0.4660773536470584	0.525569167338588	0.08342293870450934	-0.4627384638438444	0.4767298076526627	0.21266190587439548	0.07186175682807594	-0.07423861515364016	0.0822911804548585	0.19756482042264945	0.43917401135381784	-0.23232719216698583	0.0458703130340532	0.37491003311564897	0.058295293438418216		0.6905353536763288	0.536627790716047	0.5371023811867359	0.10593921927430627	0.17883241873860967	0.26380508219698795	0.7617001730526158	0.584941214402074	0.4879178171249521	0.7588020281571104
R15H-1	0.6844115600825667	0.907840294764207	0.7746314920468527	0.8750001349345973	0.8922760476387981	0.7318017625732933	0.33476762118541337	0.8781720035624399	0.787545725308961	0.7263532237122785	0.6495979817442048	0.7312720237581714	0.7814856138448232	0.8668300061095029	0.5457653772927871	0.7137961225401435	0.8463380790350625	0.7198529929075723	0.6905353536763288		-0.24451524489081733	-0.24388823780335456	-0.630737602591958	-0.5837959609233168	-0.5217815050157419	0.15013069966001003	-0.17714836565433822	-0.3055723477776411	0.14341124526641913
R15H-2	0.5283081951577648	0.8525818425166671	0.6539875027295143	0.8020934923838203	0.8285241358791346	0.5934822687584149	0.09829869317313289	0.8069248641134041	0.6725393157071688	0.5858956445442871	0.48157437837895434	0.5927435724655088	0.6638156864882812	0.7896925952868703	0.3476422842679172	0.5685042107255434	0.7588641198039163	0.5768767220412989	0.536627790716047	-0.24451524489081733		0.0006667694801436586	-0.456649036851113	-0.3957766504414787	-0.31781410650420505	0.38067177131195296	0.07041702624760116	-0.06598749714111285	0.3747842183971384
R15H-3	0.5287886936486783	0.8527638366041443	0.6543689288096453	0.802331165960936	0.828733084523118	0.5939140170402739	0.09895897662776743	0.8071573564027974	0.6729043355776743	0.5863333585975312	0.48208635036687464	0.593175904992959	0.6641884781510388	0.7899434256480644	0.34822833537227105	0.5689553112901871	0.7591467705570942	0.5773214284179768	0.5371023811867359	-0.24388823780335456	0.0006667694801436586		-0.4571766053626237	-0.39633882935791476	-0.3184134013995651	0.38010147931056437	0.06975353182998156	-0.06665133406592272	0.37421096224508377
R15H-6	0.09444387903496798	0.6483587612759103	0.28136654978904607	0.5451017016375248	0.5982014922655303	0.1877032812410564	-0.3751919617951892	0.5546564450449463	0.3115814334155327	0.1764576081406135	0.031951898805045564	0.18660361490253008	0.2972819688662638	0.5208789460216361	-0.12957719966967585	0.1510753867314103	0.46248059775653005	0.16322646558261944	0.10593921927430627	-0.630737602591958	-0.456649036851113	-0.4571766053626237		0.07430085644484752	0.16240463469228117	0.7133216773224822	0.5106458044185045	0.40279913727450367	0.7099320409206391
R15H-7	0.16756886103002788	0.6894464905117073	0.34838416504834835	0.5952923126235243	0.6438837240326833	0.25840035339657264	-0.3095196095336207	0.6040629904277068	0.377150955824342	0.2475133293507541	0.10600110296608989	0.2573365493949371	0.363552565402105	0.5730035608766455	-0.05581370061786872	0.22287447042094755	0.5189489642896477	0.23468114055810618	0.17883241873860967	-0.5837959609233168	-0.3957766504414787	-0.39633882935791476	0.07430085644484752		0.08917989450597297	0.6747846869930254	0.45355340861835747	0.33863299784802736	0.6710268855070856
R16L-1	0.2529684523200464	0.7335257278082263	0.42437908389983603	0.6499667059799616	0.6932558403747722	0.33975098666761405	-0.22659438304329937	0.6578066600735095	0.45115652435938847	0.3294218258593473	0.19335319737250645	0.3387425575070493	0.4385151075184419	0.6299906813877725	0.03353310356754391	0.30597287206108614	0.5812296583788841	0.3172219478762983	0.26380508219698795	-0.5217815050157419	-0.31781410650420505	-0.3184134013995651	0.16240463469228117	0.08917989450597297		0.6231013010490751	0.37973289129140086	0.25722098548017946	0.6188822061132115
R16L-2	0.7567820103547069	0.9310709587024004	0.8284202562008587	0.9061013856254649	0.919263960554789	0.7946297420150765	0.461694085279184	0.908522563893515	0.8385326880555881	0.7903030242451314	0.7286658374406756	0.7942093531248686	0.8337917155072427	0.8998554954941556	0.6431951503863589	0.7803070076234278	0.8841300415334197	0.7851327948754661	0.7617001730526158	0.15013069966001003	0.38067177131195296	0.38010147931056437	0.7133216773224822	0.6747846869930254	0.6231013010490751		-0.3188004375810176	-0.43571430913133846	-0.006867310546662564
R16L-3	0.577250413827096	0.8707238496787659	0.6925130197073146	0.8258648161495454	0.8493861032667736	0.6372671020858705	0.1675559138628797	0.8301705618732993	0.7093622112544771	0.6303080339679983	0.5338867519520598	0.6365898234800407	0.7014444450682942	0.8148003625061151	0.40806978827377605	0.6143282187756134	0.7872147852767057	0.6220258495127833	0.584941214402074	-0.17714836565433822	0.07041702624760116	0.06975353182998156	0.5106458044185045	0.45355340861835747	0.37973289129140086	-0.3188004375810176		-0.13577363174995527	0.3126175411195924
R16L-4	0.47902017258075724	0.8334860557454	0.6145195978932332	0.7772440803223233	0.806637302110591	0.5489947279747247	0.032522150464549204	0.7826089059503762	0.6347201837689915	0.5408171031424143	0.4292268024570869	0.5481981125386515	0.6252148085423048	0.7634904623574343	0.28826765999995096	0.5221029732707534	0.7294018153125232	0.531106677459489	0.4879178171249521	-0.3055723477776411	-0.06598749714111285	-0.06665133406592272	0.40279913727450367	0.33863299784802736	0.25722098548017946	-0.43571430913133846	-0.13577363174995527		0.4301340394077289
R16L-5-T	0.7538324098718323	0.9301509902557803	0.8262535177497383	0.9048645764481891	0.9181930845882245	0.7920848139080596	0.45627343375817553	0.9073160951708246	0.8364822306321709	0.7877108222157643	0.7254285529401117	0.7916598203659382	0.8316865645844826	0.8985407960910012	0.6391509830516207	0.7776065879372598	0.8826216526933894	0.7824844454028674	0.7588020281571104	0.14341124526641913	0.3747842183971384	0.37421096224508377	0.7099320409206391	0.6710268855070856	0.6188822061132115	-0.006867310546662564	0.3126175411195924	0.4301340394077289	
