	M	physical_dist
('R01L-10-T', 'R16L-3-T')	0.001300996835593842	64.5426887107763
('R01L-10-T', 'R16L-4-T')	0.0013014960085279829	64.5426887107763
('R01L-10-T', 'R16L-5-T')	0.0013015495854770119	64.5426887107763
('R01L-12-T', 'R02H-7-T')	0.2582190605037455	0.1111949266442996
('R01L-12-T', 'R02H-8-T')	0.3538991921289182	0.1111949266442996
('R01L-12-T', 'R02H-8-T_bis')	0.3086510889899689	0.1111949266442996
('R01L-12-T', 'R02H-9-T')	0.09497680682160048	0.1111949266442996
('R01L-12-T', 'R07B-1-Ta')	0.21493913829447822	1.1136821305126365
('R01L-12-T', 'R07B-1-Tb')	0.1932810273264333	1.1136821305126365
('R01L-12-T', 'R07B-1-Tc')	0.5567876826126624	1.1136821305126365
('R01L-12-T', 'R07B-1-Td')	0.23239871798612857	1.1136821305126365
('R01L-12-T', 'R07B-2-Tb')	0.16510665594887985	1.1136821305126365
('R01L-12-T', 'R07B-2-Tc')	0.18472309712582685	1.1136821305126365
('R01L-12-T', 'R07B-3-T')	0.11794497243649962	1.1136821305126365
('R01L-12-T', 'R08H-1-T')	0.22563578567387027	1.1140329284096762
('R01L-12-T', 'R08H-2-Ta')	0.33488764075581634	1.1140329284096762
('R01L-12-T', 'R08H-2-Tb')	0.275272776285498	1.1140329284096762
('R01L-12-T', 'R08H-2-Tc')	0.5225018002738945	1.1140329284096762
('R01L-12-T', 'R08H-3-Ta')	0.4422817541105975	1.1140329284096762
('R01L-12-T', 'R08H-3-Tb')	0.5501867863159963	1.1140329284096762
('R01L-12-T', 'R08H-3-Tc')	0.5523956397252956	1.1140329284096762
('R01L-12-T', 'R09L-2-Ta')	0.3369115715773829	1.1116602719136612
('R01L-12-T', 'R09L-2-Tb')	0.2862302742446432	1.1116602719136612
('R01L-12-T', 'R09L-2-Tc')	0.27201290001842565	1.1116602719136612
('R01L-12-T', 'R09L-3-T')	0.2552264000375827	1.1116602719136612
('R01L-12-T', 'R09L-4-Ta')	0.07959662459748013	1.1116602719136612
('R01L-12-T', 'R09L-4-Tb')	0.1448915300225336	1.1116602719136612
('R01L-12-T', 'R09L-4-Tc')	0.16361370751685117	1.1116602719136612
('R01L-12-T', 'R13L-3-T')	0.14793316835277096	2.7382753094569945
('R01L-12-T', 'R13L-4-T')	0.15805073042006815	2.7382753094569945
('R01L-12-T', 'R13L-5-T')	0.2337557633866056	2.7382753094569945
('R01L-12-T', 'R14B-2-T')	0.033707914108543985	2.7422597804706896
('R01L-12-T', 'R14B-4-T')	0.28780103696772746	2.7422597804706896
('R01L-12-T', 'R15H-1-T')	0.02583668079904186	62.777152797730054
('R01L-12-T', 'R15H-2-T')	0.025816396341434407	62.777152797730054
('R01L-12-T', 'R15H-2-T_bis')	0.025799036163503177	62.777152797730054
('R01L-12-T', 'R15H-3-T')	0.025709080406710164	62.777152797730054
('R01L-12-T', 'R15H-3-T_old')	0.025787085904556084	62.777152797730054
('R01L-12-T', 'R15H-6-T')	0.025727239717743922	62.777152797730054
('R01L-12-T', 'R15H-7-T')	0.02581394438459828	62.777152797730054
('R01L-12-T', 'R16L-1-T')	0.02580939804722689	64.5426887107763
('R01L-12-T', 'R16L-2-T')	0.02580969935347318	64.5426887107763
('R01L-12-T', 'R16L-3-T')	0.02579940879892849	64.5426887107763
('R01L-12-T', 'R16L-4-T')	0.025825867430396523	64.5426887107763
('R01L-12-T', 'R16L-5-T')	0.025817873384575703	64.5426887107763
('R02H-7-T', 'R02H-8-T')	0.26583104244987477	0.0
('R02H-7-T', 'R02H-8-T_bis')	0.22023261532571456	0.0
('R02H-7-T', 'R02H-9-T')	0.051983641273723166	0.0
('R02H-7-T', 'R07B-1-Ta')	0.1291001592240841	1.0027409984281273
('R02H-7-T', 'R07B-1-Tb')	0.11589764503301617	1.0027409984281273
('R02H-7-T', 'R07B-1-Tc')	0.497690110073982	1.0027409984281273
('R02H-7-T', 'R07B-1-Td')	0.1505922590251442	1.0027409984281273
('R02H-7-T', 'R07B-2-Tb')	0.0859955194263654	1.0027409984281273
('R02H-7-T', 'R07B-2-Tc')	0.09307383436780506	1.0027409984281273
('R02H-7-T', 'R07B-3-T')	0.06927941736633222	1.0027409984281273
('R02H-7-T', 'R08H-1-T')	0.14258064597163428	1.003118262584185
('R02H-7-T', 'R08H-2-Ta')	0.2318773588004468	1.003118262584185
('R02H-7-T', 'R08H-2-Tb')	0.17796072767287413	1.003118262584185
('R02H-7-T', 'R08H-2-Tc')	0.44853447130164503	1.003118262584185
('R02H-7-T', 'R08H-3-Ta')	0.35828383538396247	1.003118262584185
('R02H-7-T', 'R08H-3-Tb')	0.4936403793529101	1.003118262584185
('R02H-7-T', 'R08H-3-Tc')	0.4952399707133812	1.003118262584185
('R02H-7-T', 'R09L-2-Ta')	0.23387103150660754	1.00076680297774
('R02H-7-T', 'R09L-2-Tb')	0.18779824437032516	1.00076680297774
('R02H-7-T', 'R09L-2-Tc')	0.17506086518862257	1.00076680297774
('R02H-7-T', 'R09L-3-T')	0.179215244424491	1.00076680297774
('R02H-7-T', 'R09L-4-Ta')	0.04223321805129431	1.00076680297774
('R02H-7-T', 'R09L-4-Tb')	0.09315769318462314	1.00076680297774
('R02H-7-T', 'R09L-4-Tc')	0.1067793607588934	1.00076680297774
('R02H-7-T', 'R13L-3-T')	0.0924534011368732	2.6278716822892
('R02H-7-T', 'R13L-4-T')	0.10283391194750775	2.6278716822892
('R02H-7-T', 'R13L-5-T')	0.16103059035998857	2.6278716822892
('R02H-7-T', 'R14B-2-T')	0.020869089605212665	2.6318213013161085
