	Sample	read_id	Sample_id	Site	Region	Flow	Ind	Duplicate	seqid
874	R07B-1-Td	R07B-1-Td_LpxA_CC_37	A16	R07B	MEF	B	R07B-1	n	FLD0080
875	R07B-1-Td	R07B-1-Td_LpxA_CC_38	A16	R07B	MEF	B	R07B-1	n	FLD0080
876	R07B-1-Td	R07B-1-Td_LpxA_CC_39	A16	R07B	MEF	B	R07B-1	n	FLD0080
877	R07B-1-Td	R07B-1-Td_LpxA_CC_40	A16	R07B	MEF	B	R07B-1	n	FLD0080
878	R07B-1-Td	R07B-1-Td_LpxA_CC_41	A16	R07B	MEF	B	R07B-1	n	FLD0080
879	R07B-1-Td	R07B-1-Td_LpxA_CC_42	A16	R07B	MEF	B	R07B-1	n	FLD0080
880	R07B-1-Td	R07B-1-Td_LpxA_CC_43	A16	R07B	MEF	B	R07B-1	n	FLD0080
881	R07B-1-Td	R07B-1-Td_LpxA_CC_44	A16	R07B	MEF	B	R07B-1	n	FLD0080
882	R07B-1-Td	R07B-1-Td_LpxA_CC_45	A16	R07B	MEF	B	R07B-1	n	FLD0080
883	R07B-1-Td	R07B-1-Td_LpxA_CC_46	A16	R07B	MEF	B	R07B-1	n	FLD0080
884	R07B-1-Td	R07B-1-Td_LpxA_CC_47	A16	R07B	MEF	B	R07B-1	n	FLD0080
885	R07B-1-Td	R07B-1-Td_LpxA_CC_48	A16	R07B	MEF	B	R07B-1	n	FLD0080
886	R07B-1-Td	R07B-1-Td_LpxA_CC_49	A16	R07B	MEF	B	R07B-1	n	FLD0080
887	R07B-1-Td	R07B-1-Td_LpxA_CC_50	A16	R07B	MEF	B	R07B-1	n	FLD0080
888	R07B-1-Td	R07B-1-Td_LpxA_CC_51	A16	R07B	MEF	B	R07B-1	n	FLD0080
889	R07B-1-Td	R07B-1-Td_LpxA_CC_52	A16	R07B	MEF	B	R07B-1	n	FLD0080
890	R07B-1-Td	R07B-1-Td_LpxA_CC_53	A16	R07B	MEF	B	R07B-1	n	FLD0080
891	R07B-1-Td	R07B-1-Td_LpxA_CC_54	A16	R07B	MEF	B	R07B-1	n	FLD0080
892	R07B-1-Td	R07B-1-Td_LpxA_CC_55	A16	R07B	MEF	B	R07B-1	n	FLD0080
893	R07B-1-Td	R07B-1-Td_LpxA_CC_56	A16	R07B	MEF	B	R07B-1	n	FLD0080
894	R07B-1-Td	R07B-1-Td_LpxA_CC_57	A16	R07B	MEF	B	R07B-1	n	FLD0080
895	R07B-1-Td	R07B-1-Td_LpxA_CC_58	A16	R07B	MEF	B	R07B-1	n	FLD0080
896	R07B-1-Td	R07B-1-Td_LpxA_CC_59	A16	R07B	MEF	B	R07B-1	n	FLD0080
897	R07B-1-Td	R07B-1-Td_LpxA_CC_60	A16	R07B	MEF	B	R07B-1	n	FLD0080
898	R07B-1-Td	R07B-1-Td_LpxA_CC_61	A16	R07B	MEF	B	R07B-1	n	FLD0080
899	R07B-1-Td	R07B-1-Td_LpxA_CC_62	A16	R07B	MEF	B	R07B-1	n	FLD0080
900	R07B-1-Td	R07B-1-Td_LpxA_CC_63	A16	R07B	MEF	B	R07B-1	n	FLD0080
901	R07B-1-Td	R07B-1-Td_LpxA_CC_64	A16	R07B	MEF	B	R07B-1	n	FLD0080
902	R07B-1-Td	R07B-1-Td_LpxA_CC_65	A16	R07B	MEF	B	R07B-1	n	FLD0080
903	R07B-1-Td	R07B-1-Td_LpxA_CC_66	A16	R07B	MEF	B	R07B-1	n	FLD0080
904	R07B-1-Td	R07B-1-Td_LpxA_CC_67	A16	R07B	MEF	B	R07B-1	n	FLD0080
905	R07B-1-Td	R07B-1-Td_LpxA_CC_68	A16	R07B	MEF	B	R07B-1	n	FLD0080
906	R07B-1-Td	R07B-1-Td_LpxA_CC_69	A16	R07B	MEF	B	R07B-1	n	FLD0080
907	R07B-1-Td	R07B-1-Td_LpxA_CC_70	A16	R07B	MEF	B	R07B-1	n	FLD0080
908	R07B-1-Td	R07B-1-Td_LpxA_CC_71	A16	R07B	MEF	B	R07B-1	n	FLD0080
909	R07B-1-Td	R07B-1-Td_LpxA_CC_72	A16	R07B	MEF	B	R07B-1	n	FLD0080
910	R07B-1-Td	R07B-1-Td_LpxA_CC_73	A16	R07B	MEF	B	R07B-1	n	FLD0080
911	R07B-1-Td	R07B-1-Td_LpxA_CC_74	A16	R07B	MEF	B	R07B-1	n	FLD0080
912	R07B-1-Td	R07B-1-Td_LpxA_CC_75	A16	R07B	MEF	B	R07B-1	n	FLD0080
913	R07B-1-Td	R07B-1-Td_LpxA_CC_76	A16	R07B	MEF	B	R07B-1	n	FLD0080
914	R07B-1-Td	R07B-1-Td_LpxA_CC_77	A16	R07B	MEF	B	R07B-1	n	FLD0080
915	R07B-1-Td	R07B-1-Td_LpxA_CC_78	A16	R07B	MEF	B	R07B-1	n	FLD0080
916	R07B-1-Td	R07B-1-Td_LpxA_CC_79	A16	R07B	MEF	B	R07B-1	n	FLD0080
917	R07B-1-Td	R07B-1-Td_LpxA_CC_80	A16	R07B	MEF	B	R07B-1	n	FLD0080
918	R07B-1-Td	R07B-1-Td_LpxA_CC_81	A16	R07B	MEF	B	R07B-1	n	FLD0080
919	R07B-1-Td	R07B-1-Td_LpxA_CC_82	A16	R07B	MEF	B	R07B-1	n	FLD0080
920	R07B-1-Td	R07B-1-Td_LpxA_CC_83	A16	R07B	MEF	B	R07B-1	n	FLD0080
921	R07B-1-Td	R07B-1-Td_LpxA_CC_84	A16	R07B	MEF	B	R07B-1	n	FLD0080
922	R07B-1-Td	R07B-1-Td_LpxA_CC_85	A16	R07B	MEF	B	R07B-1	n	FLD0080
923	R07B-1-Td	R07B-1-Td_LpxA_CC_86	A16	R07B	MEF	B	R07B-1	n	FLD0080
924	R07B-1-Td	R07B-1-Td_LpxA_CC_87	A16	R07B	MEF	B	R07B-1	n	FLD0080
925	R07B-1-Td	R07B-1-Td_LpxA_CC_88	A16	R07B	MEF	B	R07B-1	n	FLD0080
926	R07B-1-Td	R07B-1-Td_LpxA_CC_89	A16	R07B	MEF	B	R07B-1	n	FLD0080
927	R07B-1-Td	R07B-1-Td_LpxA_CC_90	A16	R07B	MEF	B	R07B-1	n	FLD0080
928	R07B-1-Td	R07B-1-Td_LpxA_CC_91	A16	R07B	MEF	B	R07B-1	n	FLD0080
929	R07B-1-Td	R07B-1-Td_LpxA_CC_92	A16	R07B	MEF	B	R07B-1	n	FLD0080
930	R07B-1-Td	R07B-1-Td_LpxA_CC_93	A16	R07B	MEF	B	R07B-1	n	FLD0080
931	R07B-1-Td	R07B-1-Td_LpxA_CC_94	A16	R07B	MEF	B	R07B-1	n	FLD0080
932	R07B-1-Td	R07B-1-Td_LpxA_CC_95	A16	R07B	MEF	B	R07B-1	n	FLD0080
933	R07B-1-Td	R07B-1-Td_LpxA_CC_96	A16	R07B	MEF	B	R07B-1	n	FLD0080
934	R07B-1-Td	R07B-1-Td_LpxA_CC_97	A16	R07B	MEF	B	R07B-1	n	FLD0080
935	R07B-1-Td	R07B-1-Td_LpxA_CC_98	A16	R07B	MEF	B	R07B-1	n	FLD0080
936	R07B-1-Td	R07B-1-Td_LpxA_CT_0	A16	R07B	MEF	B	R07B-1	n	FLD0080
937	R07B-1-Td	R07B-1-Td_LpxA_CT_1	A16	R07B	MEF	B	R07B-1	n	FLD0080
938	R07B-1-Td	R07B-1-Td_LpxA_CT_2	A16	R07B	MEF	B	R07B-1	n	FLD0080
939	R07B-1-Td	R07B-1-Td_LpxA_CT_3	A16	R07B	MEF	B	R07B-1	n	FLD0080
940	R07B-1-Td	R07B-1-Td_LpxA_CT_4	A16	R07B	MEF	B	R07B-1	n	FLD0080
941	R07B-1-Td	R07B-1-Td_LpxA_CT_5	A16	R07B	MEF	B	R07B-1	n	FLD0080
942	R07B-1-Td	R07B-1-Td_LpxA_CT_6	A16	R07B	MEF	B	R07B-1	n	FLD0080
943	R07B-1-Td	R07B-1-Td_LpxA_CT_7	A16	R07B	MEF	B	R07B-1	n	FLD0080
944	R07B-1-Td	R07B-1-Td_LpxA_CT_8	A16	R07B	MEF	B	R07B-1	n	FLD0080
945	R07B-1-Td	R07B-1-Td_LpxA_CT_9	A16	R07B	MEF	B	R07B-1	n	FLD0080
946	R07B-1-Td	R07B-1-Td_LpxA_CT_10	A16	R07B	MEF	B	R07B-1	n	FLD0080
947	R07B-1-Td	R07B-1-Td_LpxA_CT_11	A16	R07B	MEF	B	R07B-1	n	FLD0080
948	R07B-1-Td	R07B-1-Td_LpxA_CT_12	A16	R07B	MEF	B	R07B-1	n	FLD0080
949	R07B-1-Td	R07B-1-Td_LpxA_CT_13	A16	R07B	MEF	B	R07B-1	n	FLD0080
950	R07B-1-Td	R07B-1-Td_LpxA_CT_14	A16	R07B	MEF	B	R07B-1	n	FLD0080
951	R07B-1-Td	R07B-1-Td_LpxA_CT_15	A16	R07B	MEF	B	R07B-1	n	FLD0080
952	R07B-1-Td	R07B-1-Td_LpxA_CT_16	A16	R07B	MEF	B	R07B-1	n	FLD0080
953	R07B-1-Td	R07B-1-Td_LpxA_CT_17	A16	R07B	MEF	B	R07B-1	n	FLD0080
954	R07B-1-Td	R07B-1-Td_LpxA_CT_18	A16	R07B	MEF	B	R07B-1	n	FLD0080
955	R07B-1-Td	R07B-1-Td_LpxA_CT_19	A16	R07B	MEF	B	R07B-1	n	FLD0080
956	R07B-1-Td	R07B-1-Td_LpxA_CT_20	A16	R07B	MEF	B	R07B-1	n	FLD0080
957	R07B-1-Td	R07B-1-Td_LpxA_CT_21	A16	R07B	MEF	B	R07B-1	n	FLD0080
958	R07B-1-Td	R07B-1-Td_LpxA_CT_22	A16	R07B	MEF	B	R07B-1	n	FLD0080
959	R07B-1-Td	R07B-1-Td_LpxA_CT_23	A16	R07B	MEF	B	R07B-1	n	FLD0080
960	R07B-1-Td	R07B-1-Td_LpxA_CT_24	A16	R07B	MEF	B	R07B-1	n	FLD0080
961	R07B-1-Td	R07B-1-Td_LpxA_CT_25	A16	R07B	MEF	B	R07B-1	n	FLD0080
962	R07B-1-Td	R07B-1-Td_LpxA_CT_26	A16	R07B	MEF	B	R07B-1	n	FLD0080
963	R07B-1-Td	R07B-1-Td_LpxA_CT_27	A16	R07B	MEF	B	R07B-1	n	FLD0080
964	R07B-1-Td	R07B-1-Td_LpxA_CT_28	A16	R07B	MEF	B	R07B-1	n	FLD0080
965	R07B-1-Td	R07B-1-Td_LpxA_CT_29	A16	R07B	MEF	B	R07B-1	n	FLD0080
966	R07B-1-Td	R07B-1-Td_LpxA_CT_30	A16	R07B	MEF	B	R07B-1	n	FLD0080
967	R07B-1-Td	R07B-1-Td_LpxA_CT_31	A16	R07B	MEF	B	R07B-1	n	FLD0080
968	R07B-1-Td	R07B-1-Td_LpxA_CT_32	A16	R07B	MEF	B	R07B-1	n	FLD0080
969	R07B-1-Td	R07B-1-Td_LpxA_CT_33	A16	R07B	MEF	B	R07B-1	n	FLD0080
970	R07B-1-Td	R07B-1-Td_LpxA_CT_34	A16	R07B	MEF	B	R07B-1	n	FLD0080
971	R07B-1-Td	R07B-1-Td_LpxA_CT_35	A16	R07B	MEF	B	R07B-1	n	FLD0080
972	R07B-1-Td	R07B-1-Td_LpxA_CT_36	A16	R07B	MEF	B	R07B-1	n	FLD0080
973	R07B-1-Td	R07B-1-Td_LpxA_CT_37	A16	R07B	MEF	B	R07B-1	n	FLD0080
974	R07B-1-Td	R07B-1-Td_LpxA_CT_38	A16	R07B	MEF	B	R07B-1	n	FLD0080
975	R07B-1-Td	R07B-1-Td_LpxA_CT_39	A16	R07B	MEF	B	R07B-1	n	FLD0080
976	R07B-1-Td	R07B-1-Td_LpxA_CT_40	A16	R07B	MEF	B	R07B-1	n	FLD0080
977	R07B-1-Td	R07B-1-Td_LpxA_CT_41	A16	R07B	MEF	B	R07B-1	n	FLD0080
978	R07B-1-Td	R07B-1-Td_LpxA_CT_42	A16	R07B	MEF	B	R07B-1	n	FLD0080
979	R07B-1-Td	R07B-1-Td_LpxA_CT_43	A16	R07B	MEF	B	R07B-1	n	FLD0080
980	R07B-1-Td	R07B-1-Td_LpxA_CT_44	A16	R07B	MEF	B	R07B-1	n	FLD0080
981	R07B-1-Td	R07B-1-Td_LpxA_CT_45	A16	R07B	MEF	B	R07B-1	n	FLD0080
982	R07B-1-Td	R07B-1-Td_LpxA_CT_46	A16	R07B	MEF	B	R07B-1	n	FLD0080
983	R07B-1-Td	R07B-1-Td_LpxA_CT_47	A16	R07B	MEF	B	R07B-1	n	FLD0080
984	R07B-1-Td	R07B-1-Td_LpxA_CT_48	A16	R07B	MEF	B	R07B-1	n	FLD0080
985	R07B-1-Td	R07B-1-Td_LpxA_CT_49	A16	R07B	MEF	B	R07B-1	n	FLD0080
986	R07B-1-Td	R07B-1-Td_LpxA_CT_50	A16	R07B	MEF	B	R07B-1	n	FLD0080
987	R07B-1-Td	R07B-1-Td_LpxA_CT_51	A16	R07B	MEF	B	R07B-1	n	FLD0080
988	R07B-1-Td	R07B-1-Td_LpxA_CT_52	A16	R07B	MEF	B	R07B-1	n	FLD0080
989	R07B-1-Td	R07B-1-Td_LpxA_CT_53	A16	R07B	MEF	B	R07B-1	n	FLD0080
990	R07B-1-Td	R07B-1-Td_LpxA_CT_54	A16	R07B	MEF	B	R07B-1	n	FLD0080
991	R07B-1-Td	R07B-1-Td_LpxA_CT_55	A16	R07B	MEF	B	R07B-1	n	FLD0080
992	R07B-1-Td	R07B-1-Td_LpxA_CT_56	A16	R07B	MEF	B	R07B-1	n	FLD0080
993	R07B-1-Td	R07B-1-Td_LpxA_CT_57	A16	R07B	MEF	B	R07B-1	n	FLD0080
994	R07B-1-Td	R07B-1-Td_LpxA_CT_58	A16	R07B	MEF	B	R07B-1	n	FLD0080
995	R07B-1-Td	R07B-1-Td_LpxA_CT_59	A16	R07B	MEF	B	R07B-1	n	FLD0080
996	R07B-1-Td	R07B-1-Td_LpxA_CT_60	A16	R07B	MEF	B	R07B-1	n	FLD0080
997	R07B-1-Td	R07B-1-Td_LpxA_TC_0	A16	R07B	MEF	B	R07B-1	n	FLD0080
998	R07B-1-Td	R07B-1-Td_LpxA_TC_1	A16	R07B	MEF	B	R07B-1	n	FLD0080
999	R07B-1-Td	R07B-1-Td_LpxA_TC_2	A16	R07B	MEF	B	R07B-1	n	FLD0080
1000	R07B-1-Td	R07B-1-Td_LpxA_TC_3	A16	R07B	MEF	B	R07B-1	n	FLD0080
1001	R07B-1-Td	R07B-1-Td_LpxA_TC_4	A16	R07B	MEF	B	R07B-1	n	FLD0080
1002	R07B-1-Td	R07B-1-Td_LpxA_TC_5	A16	R07B	MEF	B	R07B-1	n	FLD0080
1003	R07B-1-Td	R07B-1-Td_LpxA_TC_6	A16	R07B	MEF	B	R07B-1	n	FLD0080
1004	R07B-1-Td	R07B-1-Td_LpxA_TC_7	A16	R07B	MEF	B	R07B-1	n	FLD0080
1005	R07B-1-Td	R07B-1-Td_LpxA_TC_8	A16	R07B	MEF	B	R07B-1	n	FLD0080
1006	R07B-1-Td	R07B-1-Td_LpxA_TC_9	A16	R07B	MEF	B	R07B-1	n	FLD0080
1007	R07B-1-Td	R07B-1-Td_LpxA_TC_10	A16	R07B	MEF	B	R07B-1	n	FLD0080
1008	R07B-1-Td	R07B-1-Td_LpxA_TC_11	A16	R07B	MEF	B	R07B-1	n	FLD0080
1009	R07B-1-Td	R07B-1-Td_LpxA_TC_12	A16	R07B	MEF	B	R07B-1	n	FLD0080
1010	R07B-1-Td	R07B-1-Td_LpxA_TC_13	A16	R07B	MEF	B	R07B-1	n	FLD0080
1011	R07B-1-Td	R07B-1-Td_LpxA_TC_14	A16	R07B	MEF	B	R07B-1	n	FLD0080
1012	R07B-1-Td	R07B-1-Td_LpxA_TC_15	A16	R07B	MEF	B	R07B-1	n	FLD0080
1013	R07B-1-Td	R07B-1-Td_LpxA_TC_16	A16	R07B	MEF	B	R07B-1	n	FLD0080
1014	R07B-1-Td	R07B-1-Td_LpxA_TC_17	A16	R07B	MEF	B	R07B-1	n	FLD0080
1015	R07B-1-Td	R07B-1-Td_LpxA_TC_18	A16	R07B	MEF	B	R07B-1	n	FLD0080
1016	R07B-1-Td	R07B-1-Td_LpxA_TC_19	A16	R07B	MEF	B	R07B-1	n	FLD0080
1017	R07B-1-Td	R07B-1-Td_LpxA_TC_20	A16	R07B	MEF	B	R07B-1	n	FLD0080
1018	R07B-1-Td	R07B-1-Td_LpxA_TC_21	A16	R07B	MEF	B	R07B-1	n	FLD0080
1019	R07B-1-Td	R07B-1-Td_LpxA_TC_22	A16	R07B	MEF	B	R07B-1	n	FLD0080
1020	R07B-1-Td	R07B-1-Td_LpxA_TT_0	A16	R07B	MEF	B	R07B-1	n	FLD0080
1021	R07B-1-Td	R07B-1-Td_LpxA_TT_1	A16	R07B	MEF	B	R07B-1	n	FLD0080
1022	R07B-1-Td	R07B-1-Td_LpxA_TT_2	A16	R07B	MEF	B	R07B-1	n	FLD0080
1023	R07B-1-Td	R07B-1-Td_LpxA_TT_3	A16	R07B	MEF	B	R07B-1	n	FLD0080
1024	R07B-1-Td	R07B-1-Td_LpxA_TT_4	A16	R07B	MEF	B	R07B-1	n	FLD0080
1025	R07B-1-Td	R07B-1-Td_LpxA_TT_5	A16	R07B	MEF	B	R07B-1	n	FLD0080
1026	R07B-1-Td	R07B-1-Td_LpxA_TT_6	A16	R07B	MEF	B	R07B-1	n	FLD0080
1027	R07B-1-Td	R07B-1-Td_LpxA_TT_7	A16	R07B	MEF	B	R07B-1	n	FLD0080
1028	R07B-1-Td	R07B-1-Td_LpxA_TT_8	A16	R07B	MEF	B	R07B-1	n	FLD0080
1029	R07B-1-Td	R07B-1-Td_LpxA_TT_9	A16	R07B	MEF	B	R07B-1	n	FLD0080
1030	R07B-2-Ta	R07B-2-Ta_LpxA_CC_0	A17	R07B	MEF	B	R07B-2	n	FLD0052
1031	R07B-2-Ta	R07B-2-Ta_LpxA_CC_1	A17	R07B	MEF	B	R07B-2	n	FLD0052
1032	R07B-2-Ta	R07B-2-Ta_LpxA_CC_2	A17	R07B	MEF	B	R07B-2	n	FLD0052
1033	R07B-2-Ta	R07B-2-Ta_LpxA_CC_3	A17	R07B	MEF	B	R07B-2	n	FLD0052
1034	R07B-2-Ta	R07B-2-Ta_LpxA_CC_4	A17	R07B	MEF	B	R07B-2	n	FLD0052
