	Sample	read_id	seqid	Sample_id	Site	Ind	Region	Flow	dupl
163	R01L-10-T	R01L-10-T_2_163	PBBC36	C36	R01L	R01L-10	MEF	L	n
164	R01L-10-T	R01L-10-T_2_164	PBBC36	C36	R01L	R01L-10	MEF	L	n
165	R01L-10-T	R01L-10-T_2_165	PBBC36	C36	R01L	R01L-10	MEF	L	n
166	R01L-10-T	R01L-10-T_2_166	PBBC36	C36	R01L	R01L-10	MEF	L	n
167	R01L-10-T	R01L-10-T_2_167	PBBC36	C36	R01L	R01L-10	MEF	L	n
168	R01L-10-T	R01L-10-T_2_168	PBBC36	C36	R01L	R01L-10	MEF	L	n
169	R01L-10-T	R01L-10-T_2_169	PBBC36	C36	R01L	R01L-10	MEF	L	n
170	R01L-10-T	R01L-10-T_2_170	PBBC36	C36	R01L	R01L-10	MEF	L	n
171	R01L-10-T	R01L-10-T_2_171	PBBC36	C36	R01L	R01L-10	MEF	L	n
172	R01L-10-T	R01L-10-T_2_172	PBBC36	C36	R01L	R01L-10	MEF	L	n
173	R01L-10-T	R01L-10-T_2_173	PBBC36	C36	R01L	R01L-10	MEF	L	n
174	R01L-10-T	R01L-10-T_2_174	PBBC36	C36	R01L	R01L-10	MEF	L	n
175	R01L-10-T	R01L-10-T_2_175	PBBC36	C36	R01L	R01L-10	MEF	L	n
176	R01L-10-T	R01L-10-T_2_176	PBBC36	C36	R01L	R01L-10	MEF	L	n
177	R01L-10-T	R01L-10-T_2_177	PBBC36	C36	R01L	R01L-10	MEF	L	n
178	R01L-10-T	R01L-10-T_2_178	PBBC36	C36	R01L	R01L-10	MEF	L	n
179	R01L-10-T	R01L-10-T_2_179	PBBC36	C36	R01L	R01L-10	MEF	L	n
180	R01L-10-T	R01L-10-T_2_180	PBBC36	C36	R01L	R01L-10	MEF	L	n
181	R01L-10-T	R01L-10-T_2_181	PBBC36	C36	R01L	R01L-10	MEF	L	n
182	R01L-10-T	R01L-10-T_2_182	PBBC36	C36	R01L	R01L-10	MEF	L	n
183	R01L-10-T	R01L-10-T_2_183	PBBC36	C36	R01L	R01L-10	MEF	L	n
184	R01L-10-T	R01L-10-T_2_184	PBBC36	C36	R01L	R01L-10	MEF	L	n
185	R01L-10-T	R01L-10-T_2_185	PBBC36	C36	R01L	R01L-10	MEF	L	n
186	R01L-10-T	R01L-10-T_2_186	PBBC36	C36	R01L	R01L-10	MEF	L	n
187	R01L-10-T	R01L-10-T_2_187	PBBC36	C36	R01L	R01L-10	MEF	L	n
188	R01L-10-T	R01L-10-T_2_188	PBBC36	C36	R01L	R01L-10	MEF	L	n
189	R01L-10-T	R01L-10-T_2_189	PBBC36	C36	R01L	R01L-10	MEF	L	n
190	R01L-10-T	R01L-10-T_2_190	PBBC36	C36	R01L	R01L-10	MEF	L	n
191	R01L-10-T	R01L-10-T_2_191	PBBC36	C36	R01L	R01L-10	MEF	L	n
192	R01L-10-T	R01L-10-T_2_192	PBBC36	C36	R01L	R01L-10	MEF	L	n
193	R01L-10-T	R01L-10-T_2_193	PBBC36	C36	R01L	R01L-10	MEF	L	n
194	R01L-10-T	R01L-10-T_2_194	PBBC36	C36	R01L	R01L-10	MEF	L	n
195	R01L-10-T	R01L-10-T_2_195	PBBC36	C36	R01L	R01L-10	MEF	L	n
196	R01L-10-T	R01L-10-T_2_196	PBBC36	C36	R01L	R01L-10	MEF	L	n
197	R01L-10-T	R01L-10-T_2_197	PBBC36	C36	R01L	R01L-10	MEF	L	n
198	R01L-10-T	R01L-10-T_2_198	PBBC36	C36	R01L	R01L-10	MEF	L	n
199	R01L-10-T	R01L-10-T_2_199	PBBC36	C36	R01L	R01L-10	MEF	L	n
200	R01L-10-T	R01L-10-T_2_200	PBBC36	C36	R01L	R01L-10	MEF	L	n
201	R01L-10-T	R01L-10-T_2_201	PBBC36	C36	R01L	R01L-10	MEF	L	n
202	R01L-10-T	R01L-10-T_2_202	PBBC36	C36	R01L	R01L-10	MEF	L	n
203	R01L-10-T	R01L-10-T_2_203	PBBC36	C36	R01L	R01L-10	MEF	L	n
204	R01L-10-T	R01L-10-T_2_204	PBBC36	C36	R01L	R01L-10	MEF	L	n
205	R01L-10-T	R01L-10-T_3_0	PBBC36	C36	R01L	R01L-10	MEF	L	n
206	R01L-10-T	R01L-10-T_10_0	PBBC36	C36	R01L	R01L-10	MEF	L	n
207	R01L-10-T	R01L-10-T_11_0	PBBC36	C36	R01L	R01L-10	MEF	L	n
208	R01L-10-T	R01L-10-T_17_0	PBBC36	C36	R01L	R01L-10	MEF	L	n
209	R01L-10-T	R01L-10-T_17_1	PBBC36	C36	R01L	R01L-10	MEF	L	n
210	R01L-10-T	R01L-10-T_26_0	PBBC36	C36	R01L	R01L-10	MEF	L	n
211	R01L-10-T	R01L-10-T_36_0	PBBC36	C36	R01L	R01L-10	MEF	L	n
212	R01L-10-T	R01L-10-T_39_0	PBBC36	C36	R01L	R01L-10	MEF	L	n
213	R01L-10-T	R01L-10-T_51_0	PBBC36	C36	R01L	R01L-10	MEF	L	n
214	R01L-10-T	R01L-10-T_51_1	PBBC36	C36	R01L	R01L-10	MEF	L	n
215	R01L-10-T	R01L-10-T_97_0	PBBC36	C36	R01L	R01L-10	MEF	L	n
216	R01L-10-T	R01L-10-T_105_0	PBBC36	C36	R01L	R01L-10	MEF	L	n
217	R01L-10-T	R01L-10-T_110_0	PBBC36	C36	R01L	R01L-10	MEF	L	n
218	R01L-10-T	R01L-10-T_111_0	PBBC36	C36	R01L	R01L-10	MEF	L	n
219	R01L-12-T	R01L-12-T_2_0	PBBC37	C37	R01L	R01L-12	MEF	L	n
220	R01L-12-T	R01L-12-T_2_1	PBBC37	C37	R01L	R01L-12	MEF	L	n
221	R01L-12-T	R01L-12-T_2_2	PBBC37	C37	R01L	R01L-12	MEF	L	n
222	R01L-12-T	R01L-12-T_2_3	PBBC37	C37	R01L	R01L-12	MEF	L	n
223	R01L-12-T	R01L-12-T_2_4	PBBC37	C37	R01L	R01L-12	MEF	L	n
224	R01L-12-T	R01L-12-T_2_5	PBBC37	C37	R01L	R01L-12	MEF	L	n
225	R01L-12-T	R01L-12-T_2_6	PBBC37	C37	R01L	R01L-12	MEF	L	n
226	R01L-12-T	R01L-12-T_2_7	PBBC37	C37	R01L	R01L-12	MEF	L	n
227	R01L-12-T	R01L-12-T_2_8	PBBC37	C37	R01L	R01L-12	MEF	L	n
228	R01L-12-T	R01L-12-T_2_9	PBBC37	C37	R01L	R01L-12	MEF	L	n
229	R01L-12-T	R01L-12-T_2_10	PBBC37	C37	R01L	R01L-12	MEF	L	n
230	R01L-12-T	R01L-12-T_2_11	PBBC37	C37	R01L	R01L-12	MEF	L	n
231	R01L-12-T	R01L-12-T_2_12	PBBC37	C37	R01L	R01L-12	MEF	L	n
232	R01L-12-T	R01L-12-T_2_13	PBBC37	C37	R01L	R01L-12	MEF	L	n
233	R01L-12-T	R01L-12-T_2_14	PBBC37	C37	R01L	R01L-12	MEF	L	n
234	R01L-12-T	R01L-12-T_2_15	PBBC37	C37	R01L	R01L-12	MEF	L	n
235	R01L-12-T	R01L-12-T_2_16	PBBC37	C37	R01L	R01L-12	MEF	L	n
236	R01L-12-T	R01L-12-T_2_17	PBBC37	C37	R01L	R01L-12	MEF	L	n
237	R01L-12-T	R01L-12-T_2_18	PBBC37	C37	R01L	R01L-12	MEF	L	n
238	R01L-12-T	R01L-12-T_2_19	PBBC37	C37	R01L	R01L-12	MEF	L	n
239	R01L-12-T	R01L-12-T_2_20	PBBC37	C37	R01L	R01L-12	MEF	L	n
240	R01L-12-T	R01L-12-T_2_21	PBBC37	C37	R01L	R01L-12	MEF	L	n
241	R01L-12-T	R01L-12-T_2_22	PBBC37	C37	R01L	R01L-12	MEF	L	n
242	R01L-12-T	R01L-12-T_2_23	PBBC37	C37	R01L	R01L-12	MEF	L	n
243	R01L-12-T	R01L-12-T_2_24	PBBC37	C37	R01L	R01L-12	MEF	L	n
244	R01L-12-T	R01L-12-T_2_25	PBBC37	C37	R01L	R01L-12	MEF	L	n
245	R01L-12-T	R01L-12-T_2_26	PBBC37	C37	R01L	R01L-12	MEF	L	n
246	R01L-12-T	R01L-12-T_2_27	PBBC37	C37	R01L	R01L-12	MEF	L	n
247	R01L-12-T	R01L-12-T_2_28	PBBC37	C37	R01L	R01L-12	MEF	L	n
248	R01L-12-T	R01L-12-T_2_29	PBBC37	C37	R01L	R01L-12	MEF	L	n
249	R01L-12-T	R01L-12-T_2_30	PBBC37	C37	R01L	R01L-12	MEF	L	n
250	R01L-12-T	R01L-12-T_2_31	PBBC37	C37	R01L	R01L-12	MEF	L	n
251	R01L-12-T	R01L-12-T_2_32	PBBC37	C37	R01L	R01L-12	MEF	L	n
252	R01L-12-T	R01L-12-T_2_33	PBBC37	C37	R01L	R01L-12	MEF	L	n
253	R01L-12-T	R01L-12-T_2_34	PBBC37	C37	R01L	R01L-12	MEF	L	n
254	R01L-12-T	R01L-12-T_7_0	PBBC37	C37	R01L	R01L-12	MEF	L	n
255	R01L-12-T	R01L-12-T_7_1	PBBC37	C37	R01L	R01L-12	MEF	L	n
256	R01L-12-T	R01L-12-T_8_0	PBBC37	C37	R01L	R01L-12	MEF	L	n
257	R01L-12-T	R01L-12-T_8_1	PBBC37	C37	R01L	R01L-12	MEF	L	n
258	R01L-12-T	R01L-12-T_8_2	PBBC37	C37	R01L	R01L-12	MEF	L	n
259	R01L-12-T	R01L-12-T_8_3	PBBC37	C37	R01L	R01L-12	MEF	L	n
260	R01L-12-T	R01L-12-T_8_4	PBBC37	C37	R01L	R01L-12	MEF	L	n
261	R01L-12-T	R01L-12-T_8_5	PBBC37	C37	R01L	R01L-12	MEF	L	n
262	R01L-12-T	R01L-12-T_8_6	PBBC37	C37	R01L	R01L-12	MEF	L	n
263	R01L-12-T	R01L-12-T_16_0	PBBC37	C37	R01L	R01L-12	MEF	L	n
264	R01L-12-T	R01L-12-T_18_0	PBBC37	C37	R01L	R01L-12	MEF	L	n
265	R01L-12-T	R01L-12-T_33_0	PBBC37	C37	R01L	R01L-12	MEF	L	n
266	R01L-12-T	R01L-12-T_36_0	PBBC37	C37	R01L	R01L-12	MEF	L	n
267	R01L-12-T	R01L-12-T_49_0	PBBC37	C37	R01L	R01L-12	MEF	L	n
268	R01L-12-T	R01L-12-T_57_0	PBBC37	C37	R01L	R01L-12	MEF	L	n
269	R01L-12-T	R01L-12-T_97_0	PBBC37	C37	R01L	R01L-12	MEF	L	n
270	R01L-12-T	R01L-12-T_97_1	PBBC37	C37	R01L	R01L-12	MEF	L	n
271	R02H-7-T	R02H-7-T_0_0	PBBC38	C39	R02H	R02H-7	MEF	H	n
272	R02H-7-T	R02H-7-T_2_0	PBBC38	C39	R02H	R02H-7	MEF	H	n
273	R02H-7-T	R02H-7-T_2_1	PBBC38	C39	R02H	R02H-7	MEF	H	n
274	R02H-7-T	R02H-7-T_2_2	PBBC38	C39	R02H	R02H-7	MEF	H	n
275	R02H-7-T	R02H-7-T_2_3	PBBC38	C39	R02H	R02H-7	MEF	H	n
276	R02H-7-T	R02H-7-T_2_4	PBBC38	C39	R02H	R02H-7	MEF	H	n
277	R02H-7-T	R02H-7-T_2_5	PBBC38	C39	R02H	R02H-7	MEF	H	n
278	R02H-7-T	R02H-7-T_2_6	PBBC38	C39	R02H	R02H-7	MEF	H	n
279	R02H-7-T	R02H-7-T_2_7	PBBC38	C39	R02H	R02H-7	MEF	H	n
280	R02H-7-T	R02H-7-T_2_8	PBBC38	C39	R02H	R02H-7	MEF	H	n
