	R09L-4-Ta	R09L-4-Tb	R09L-4-Tc	R07B-2-Ta	R07B-2-Tb	R07B-2-Tc	R07B-2-Td	R15H-3-T_old	R08H-1-T	R08H-2-Tb	R08H-3-Ta	R14B-3-T	R16L-3-T	R13L-5-T	R08H-2-Ta	R15H-1-T	R09L-3-T	R09L-2-Tc	R09L-2-Tb	R09L-2-Ta	R08H-3-Tc	R08H-3-Tb	R08H-2-Tc	R07B-3-T	R07B-1-Td	R07B-1-Tc	R07B-1-Tb	R07B-1-Ta	R16L-3-T_bis	R16L-2-T	R16L-1-T	R15H-3-T	R15H-2-T	R13L-3-T	R13L-5-T_bis	R13L-4-T	R14B-4-T	R14B-2-T
R16L-3-T_bis	0.40423	0.72246	0.69736	0.53967	0.56906	0.81409	0.79728	0.00119	0.09432	0.57217	0.00066	0.00148	0.0393	0.31755	0.64869	-0.0007	0.38553	0.26047	0.37918	0.2153	0.00591	0.08086	0.84253	0.32313	0.25676	0.15333	0.2638	0.26779	0									
R16L-2-T	0.51343	0.78819	0.76227	0.63817	0.67491	0.86712	0.83167	-0.00667	0.14798	0.66468	0.02497	-0.00411	0.00345	0.41776	0.72469	-0.00729	0.49156	0.34095	0.47955	0.29837	0.03228	0.13025	0.88606	0.43246	0.36966	0.23418	0.35641	0.35765	0.00327	0								
R16L-1-T	0.55291	0.81232	0.78622	0.67312	0.71039	0.88728	0.84624	-0.00216	0.17479	0.69727	0.04521	0.00262	-0.00289	0.45903	0.75203	-0.00141	0.53302	0.37417	0.51799	0.33413	0.05165	0.15611	0.90383	0.4749	0.41606	0.27304	0.39385	0.39415	0.03114	0.0017	0							
R15H-3-T	0.52197	0.79571	0.76929	0.64689	0.68245	0.87453	0.83635	-0.00409	0.15936	0.67272	0.03897	0.00058	-0.00306	0.43063	0.73208	-0.00365	0.50358	0.35051	0.48954	0.30961	0.04543	0.143	0.89375	0.44348	0.38306	0.24936	0.3662	0.36754	0.02331	-0.00014	-0.00356	0						
R15H-2-T	0.55996	0.81357	0.78815	0.67782	0.71626	0.88647	0.84674	-0.00628	0.17228	0.7018	0.03476	-0.00273	0.00052	0.46142	0.75502	-0.00659	0.53653	0.37755	0.52294	0.33628	0.04243	0.15138	0.90182	0.48012	0.41965	0.27092	0.3986	0.39844	0.01141	-0.00291	-0.00064	-0.00188	0					
R13L-3-T	0.24363	0.01678	0.02726	0.06321	0.53569	0.73614	0.75738	0.76627	0.52757	0.0727	0.76328	0.80598	0.85178	0.26595	0.04075	0.7615	0.18695	0.26073	0.15621	0.33097	0.7556	0.57422	0.03233	0.23029	0.32565	0.46972	0.30455	0.27392	0.74554	0.81231	0.83717	0.82104	0.83706	0				
R13L-5-T_bis	0.16832	0.37879	0.3692	0.21074	0.40716	0.62444	0.66274	0.26955	0.06687	0.25579	0.25994	0.32154	0.39864	0.01139	0.32379	0.26361	0.04578	0.03248	0.07596	0.01191	0.25154	0.07639	0.48302	0.05513	0.02617	0.01668	0.06296	0.04575	0.23865	0.33128	0.37198	0.34529	0.37256	0.36209	0			
R13L-4-T	0.15988	0.35121	0.34312	0.1911	0.40324	0.61317	0.65243	0.28242	0.08108	0.23593	0.27423	0.3307	0.40228	0.00482	0.30022	0.27691	0.03336	0.02849	0.06343	0.01266	0.26705	0.09306	0.44986	0.0475	0.02495	0.02655	0.06098	0.04214	0.25307	0.33979	0.37738	0.35254	0.37839	0.33186	-0.00219	0		
R14B-4-T	0.56248	0.81734	0.79139	0.68112	0.71876	0.89102	0.84931	-0.00154	0.17982	0.70476	0.04722	0.00325	-0.00282	0.46797	0.75811	-0.00069	0.54217	0.38175	0.52689	0.34199	0.05365	0.16038	0.90682	0.48472	0.42641	0.28067	0.40263	0.40262	0.0337	0.00226	-0.00314	-0.0034	-0.00026	0.84198	0.38048	0.38531	0	
R14B-2-T	0.51852	0.79201	0.7662	0.64384	0.67737	0.86807	0.83183	-0.00459	0.15176	0.66994	0.03143	-0.00111	0.00233	0.42604	0.72917	-0.00491	0.49933	0.34634	0.48621	0.30461	0.03861	0.13689	0.88841	0.43896	0.37635	0.24236	0.36115	0.36298	0.01011	-0.00124	0.00104	-0.00028	-0.00107	0.81611	0.33989	0.34791	0.00146	0
