	0
5- 170- 161- 174- 179	88
5- 170- 161- 174- 179- 58- 295	89
5- 170- 161- 174- 179- 55- 58- 295	90
5- 170- 161- 174- 179- 184- 295	91
5- 170- 161- 174- 179- 184- 55- 295	92
5- 170- 161- 174- 179- 440- 184- 55- 58- 295	93
5- 170- 161- 174- 179- 47- 58- 295	94
5- 170- 161- 174- 179- 47- 440	95
5- 170- 161- 174- 179- 47- 440- 184- 58- 295	96
5- 170- 161- 174- 179- 47- 440- 184- 55- 58- 295	97
5- 170- 161- 174- 179- 37	98
5- 170- 161- 174- 179- 37- 295	99
5- 170- 161- 174- 179- 37- 58- 295	100
5- 170- 161- 174- 179- 37- 55- 295	101
5- 170- 161- 174- 179- 37- 55- 58- 295	102
5- 170- 161- 174- 179- 37- 440- 184- 58- 295	103
5- 170- 161- 174- 179- 37- 440- 184- 55- 295	104
5- 170- 161- 174- 179- 37- 47- 58- 295	105
5- 170- 161- 174- 179- 37- 47- 55- 58- 295	106
5- 170- 161- 174- 179- 37- 47- 184- 55	107
5- 170- 161- 174- 179- 37- 47- 184- 55- 295	108
5- 170- 161- 174- 179- 37- 47- 440	109
5- 170- 161- 174- 179- 37- 47- 440- 295	110
5- 170- 161- 174- 179- 37- 47- 440- 55- 58- 295	111
5- 170- 161- 174- 179- 37- 47- 440- 184	112
5- 170- 161- 174- 179- 37- 47- 440- 184- 58	113
5- 170- 161- 174- 179- 37- 47- 440- 184- 55	114
5- 170- 161- 174- 179- 37- 47- 440- 184- 55- 58	115
5- 170- 22- 79- 161- 174- 179- 37- 47- 440- 184- 55- 58- 295	116
5- 170- 51- 22- 55- 58- 295	117
5- 170- 51- 22- 184- 55- 58- 295	118
5- 170- 51- 22- 79- 174- 179- 37- 47- 440- 184- 55- 58- 295	119
5- 170- 51- 22- 79- 161- 184- 55- 58- 295	120
5- 170- 51- 22- 79- 161- 174- 58- 295	121
5- 170- 51- 22- 79- 161- 174- 179- 37	122
